lote,data_inicio,data_fim,tipo_veiculo,frota_operante_hp,frota_determinada,viagens_dia_util,km_comercial_dia_util,pmd_comercial_dia_util,pmm_comercial,fonte
B1,2026-08-01,2027-04-30,basico,104,119,1024,32749,306,8544,Anexo I.2 Tab.24-26
B1,2026-08-01,2027-04-30,midi,8,9,106,2501,227,6462,Anexo I.2 Tab.24-26
B1,2026-08-01,2027-04-30,mini,0,0,0,0,0,0,Anexo I.2 Tab.24-26
B2,2026-08-01,2027-04-30,basico,0,0,0,0,0,0,Anexo I.2 Tab.24-26
B2,2026-08-01,2027-04-30,midi,7,8,110,1444,206,6176,Anexo I.2 Tab.24-26
B2,2026-08-01,2027-04-30,mini,38,44,554,7567,185,5398,Anexo I.2 Tab.24-26
A2,2026-08-01,2027-04-30,basico,58,66,632,15795,272,7852,Anexo I.2 Tab.24-26
A2,2026-08-01,2027-04-30,midi,24,27,382,6823,220,6487,Anexo I.2 Tab.24-26
A2,2026-08-01,2027-04-30,mini,21,24,330,5436,259,7537,Anexo I.2 Tab.24-26
B1,2027-05-01,,basico,125,141,1164,36965,282,7690,Anexo I.2 Tab.24-26
B1,2027-05-01,,midi,10,11,120,2837,203,5610,Anexo I.2 Tab.24-26
B1,2027-05-01,,mini,0,0,0,0,0,0,Anexo I.2 Tab.24-26
B2,2027-05-01,2028-08-24,basico,14,16,160,3444,246,7251,Anexo I.2 Tab.24-26
B2,2027-05-01,2028-08-24,midi,9,10,140,1838,204,5801,Anexo I.2 Tab.24-26
B2,2027-05-01,2028-08-24,mini,65,74,881,12457,181,5178,Anexo I.2 Tab.24-26
A2,2027-05-01,,basico,69,79,742,17506,240,7007,Anexo I.2 Tab.24-26
A2,2027-05-01,,midi,30,35,478,8673,189,5451,Anexo I.2 Tab.24-26
A2,2027-05-01,,mini,91,102,1438,20219,213,6113,Anexo I.2 Tab.24-26
B2,2028-08-25,,basico,14,16,160,3444,246,7251,Anexo I.2 Tab.24-26
B2,2028-08-25,,midi,9,10,140,1838,204,5801,Anexo I.2 Tab.24-26
B2,2028-08-25,,mini,118,134,1597,21960,177,293,Anexo I.2 Tab.24-26
A0,2026-07-01,2026-07-31,basico,69,79,742,17506,240,7007,simulação A0 stub (cópia A2 plena)
A0,2026-07-01,2026-07-31,midi,30,35,478,8673,189,5451,simulação A0 stub (cópia A2 plena)
A0,2026-07-01,2026-07-31,mini,91,102,1438,20219,213,6113,simulação A0 stub (cópia A2 plena)
