lote,data_inicio,data_fim,tipo_dia,servico,vista,servico_tipo,servico_tecnologia,extensao_ida_km,extensao_volta_km,tempo_ciclo_min,frota_hp,frota_noturna,intervalo_hp_min,frequencia_hp,viagens_ida_dia,viagens_volta_dia,viagens_mes,producao_km_mes,fonte
B1,2026-08-01,2027-04-30,util,731,C. Grande - Mal. Hermes,regular,basico,28.911,27.363,181.0,17,0,13.0,5.0,80,80,4512,125080.0,Anexo I.2 p.18
B1,2026-08-01,2027-04-30,util,765,Mendanha - T. Deodoro,regular,midi,22.596,23.085,164.0,8,0,20.0,3.0,48,48,2736,61834.0,Anexo I.2 p.18
B1,2026-08-01,2027-04-30,util,770,C. Grande - Coelho Neto,regular,basico,29.898,29.043,181.0,12,0,15.0,4.0,69,69,3876,112106.0,Anexo I.2 p.18
B1,2026-08-01,2027-04-30,util,771,C. Grande - Coelho Neto,regular,basico,29.572,28.802,197.0,13,0,15.0,4.0,67,67,3796,108938.0,Anexo I.2 p.18
B1,2026-08-01,2027-04-30,util,790,C. Grande - Cascadura,regular,basico,32.266,35.252,219.0,22,0,10.0,6.0,96,96,5392,179091.0,Anexo I.2 p.18
B1,2026-08-01,2027-04-30,util,796,Cosmos - T. Deodoro,regular,basico,35.419,35.794,224.0,12,0,20.0,3.0,60,60,3488,123320.0,Anexo I.2 p.18
B1,2026-08-01,2027-04-30,util,798,Urucânia - T. Deodoro,regular,basico,33.338,34.303,212.0,15,0,15.0,4.0,78,78,4392,146287.0,Anexo I.2 p.18
B1,2026-08-01,2027-04-30,util,SN731,C. Grande - Mal. Hermes,noturno,midi,32.004,29.625,168.0,0,3,60.0,1.0,5,5,300,9244.0,Anexo I.2 p.18
B1,2026-08-01,2027-04-30,util,SN790,C. Grande - Cascadura,noturno,basico,33.578,37.095,171.0,0,3,60.0,1.0,4,4,240,8481.0,Anexo I.2 p.18
B1,2026-08-01,2027-04-30,util,SV790,C. Grande - Cascadura,variante,basico,32.645,35.566,253.0,13,0,20.0,3.0,58,58,3288,110911.0,Anexo I.2 p.18
B1,2026-08-01,2027-04-30,sabado,731,C. Grande - Mal. Hermes,regular,basico,28.911,27.363,181.0,14,0,15.0,4.0,69,69,4512,125080.0,Anexo I.2 p.19
B1,2026-08-01,2027-04-30,sabado,765,Mendanha - T. Deodoro,regular,midi,22.596,23.085,164.0,6,0,25.0,2.4,40,40,2736,61834.0,Anexo I.2 p.19
B1,2026-08-01,2027-04-30,sabado,770,C. Grande - Coelho Neto,regular,basico,29.898,29.043,181.0,12,0,15.0,4.0,65,65,3876,112106.0,Anexo I.2 p.19
B1,2026-08-01,2027-04-30,sabado,771,C. Grande - Coelho Neto,regular,basico,29.572,28.802,197.0,12,0,15.0,4.0,65,65,3796,108938.0,Anexo I.2 p.19
B1,2026-08-01,2027-04-30,sabado,790,C. Grande - Cascadura,regular,basico,32.266,35.252,219.0,18,0,12.0,5.0,83,83,5392,179091.0,Anexo I.2 p.19
B1,2026-08-01,2027-04-30,sabado,796,Cosmos - T. Deodoro,regular,basico,35.419,35.794,224.0,11,0,20.0,3.0,55,55,3488,123320.0,Anexo I.2 p.19
B1,2026-08-01,2027-04-30,sabado,798,Urucânia - T. Deodoro,regular,basico,33.338,34.303,212.0,13,0,15.0,4.0,67,67,4392,146287.0,Anexo I.2 p.19
B1,2026-08-01,2027-04-30,sabado,SN731,C. Grande - Mal. Hermes,noturno,midi,32.004,29.625,168.0,0,3,60.0,1.0,5,5,300,9244.0,Anexo I.2 p.19
B1,2026-08-01,2027-04-30,sabado,SN790,C. Grande - Cascadura,noturno,basico,33.578,37.095,171.0,0,3,60.0,1.0,4,4,240,8481.0,Anexo I.2 p.19
B1,2026-08-01,2027-04-30,sabado,SV790,C. Grande - Cascadura,variante,basico,32.645,35.566,253.0,13,0,20.0,3.0,46,46,3288,110911.0,Anexo I.2 p.19
B1,2026-08-01,2027-04-30,domingo,731,C. Grande - Mal. Hermes,regular,basico,28.911,27.363,181.0,11,0,18.0,3.0,55,55,4512,125080.0,Anexo I.2 p.20
B1,2026-08-01,2027-04-30,domingo,765,Mendanha - T. Deodoro,regular,midi,22.596,23.085,164.0,5,0,30.0,2.0,38,38,2736,61834.0,Anexo I.2 p.20
B1,2026-08-01,2027-04-30,domingo,770,C. Grande - Coelho Neto,regular,basico,29.898,29.043,181.0,8,0,20.0,3.0,40,40,3876,112106.0,Anexo I.2 p.20
B1,2026-08-01,2027-04-30,domingo,771,C. Grande - Coelho Neto,regular,basico,29.572,28.802,197.0,8,0,20.0,3.0,41,41,3796,108938.0,Anexo I.2 p.20
B1,2026-08-01,2027-04-30,domingo,790,C. Grande - Cascadura,regular,basico,32.266,35.252,219.0,11,0,15.0,4.0,63,63,5392,179091.0,Anexo I.2 p.20
B1,2026-08-01,2027-04-30,domingo,796,Cosmos - T. Deodoro,regular,basico,35.419,35.794,224.0,9,0,20.0,3.0,51,51,3488,123320.0,Anexo I.2 p.20
B1,2026-08-01,2027-04-30,domingo,798,Urucânia - T. Deodoro,regular,basico,33.338,34.303,212.0,9,0,20.0,3.0,53,53,4392,146287.0,Anexo I.2 p.20
B1,2026-08-01,2027-04-30,domingo,SN731,C. Grande - Mal. Hermes,noturno,midi,32.004,29.625,168.0,0,3,60.0,1.0,5,5,300,9244.0,Anexo I.2 p.20
B1,2026-08-01,2027-04-30,domingo,SN790,C. Grande - Cascadura,noturno,basico,33.578,37.095,171.0,0,3,60.0,1.0,4,4,240,8481.0,Anexo I.2 p.20
B1,2026-08-01,2027-04-30,domingo,SV790,C. Grande - Cascadura,variante,basico,32.645,35.566,253.0,12,0,20.0,3.0,46,46,3288,110911.0,Anexo I.2 p.20
B1,2027-05-01,,util,731,C. Grande - Mal. Hermes,regular,basico,28.911,27.363,216.0,24,0,9.0,7.0,113,113,6028,165085.0,Anexo I.2 p.23
B1,2027-05-01,,util,765,Mendanha - T. Deodoro,regular,midi,22.596,23.085,149.0,10,0,15.0,4.0,54,54,3000,67453.0,Anexo I.2 p.23
B1,2027-05-01,,util,770,C. Grande - Coelho Neto,regular,basico,29.898,29.043,179.0,15,0,12.0,5.0,78,78,4272,122980.0,Anexo I.2 p.23
B1,2027-05-01,,util,771,C. Grande - Coelho Neto,regular,basico,29.572,28.802,186.0,16,0,12.0,5.0,78,78,4280,122101.0,Anexo I.2 p.23
B1,2027-05-01,,util,790,C. Grande - Cascadura,regular,basico,32.266,35.252,219.0,22,0,10.0,6.0,96,96,5392,179091.0,Anexo I.2 p.23
B1,2027-05-01,,util,796,Cosmos - T. Deodoro,regular,basico,35.419,35.794,227.0,16,0,15.0,4.0,65,65,3780,133375.0,Anexo I.2 p.23
B1,2027-05-01,,util,798,Urucânia - T. Deodoro,regular,basico,33.338,34.303,212.0,15,0,15.0,4.0,71,71,4084,136581.0,Anexo I.2 p.23
B1,2027-05-01,,util,SN731,C. Grande - Mal. Hermes,noturno,midi,32.004,29.625,168.0,0,4,45.0,1.0,6,6,360,11093.0,Anexo I.2 p.23
B1,2027-05-01,,util,SN790,C. Grande - Cascadura,noturno,basico,33.578,37.095,171.0,0,6,30.0,2.0,7,7,420,14841.0,Anexo I.2 p.23
B1,2027-05-01,,util,SV790,C. Grande - Cascadura,variante,basico,32.645,35.566,253.0,17,0,15.0,4.0,74,74,3992,133284.0,Anexo I.2 p.23
B1,2027-05-01,,sabado,731,C. Grande - Mal. Hermes,regular,basico,28.911,27.363,216.0,18,0,12.0,5.0,77,77,6028,165085.0,Anexo I.2 p.24
B1,2027-05-01,,sabado,765,Mendanha - T. Deodoro,regular,midi,22.596,23.085,149.0,6,0,25.0,2.0,40,40,3000,67453.0,Anexo I.2 p.24
B1,2027-05-01,,sabado,770,C. Grande - Coelho Neto,regular,basico,29.898,29.043,179.0,12,0,15.0,4.0,65,65,4272,122980.0,Anexo I.2 p.24
B1,2027-05-01,,sabado,771,C. Grande - Coelho Neto,regular,basico,29.572,28.802,186.0,12,0,15.0,4.0,65,65,4280,122101.0,Anexo I.2 p.24
B1,2027-05-01,,sabado,790,C. Grande - Cascadura,regular,basico,32.266,35.252,219.0,18,0,12.0,5.0,83,83,5392,179091.0,Anexo I.2 p.24
B1,2027-05-01,,sabado,796,Cosmos - T. Deodoro,regular,basico,35.419,35.794,227.0,14,0,15.0,4.0,64,64,3780,133375.0,Anexo I.2 p.24
B1,2027-05-01,,sabado,798,Urucânia - T. Deodoro,regular,basico,33.338,34.303,212.0,13,0,15.0,4.0,67,67,4084,136581.0,Anexo I.2 p.24
B1,2027-05-01,,sabado,SN731,C. Grande - Mal. Hermes,noturno,midi,32.004,29.625,168.0,0,7,30.0,2.0,6,6,360,11093.0,Anexo I.2 p.24
B1,2027-05-01,,sabado,SN790,C. Grande - Cascadura,noturno,basico,33.578,37.095,171.0,0,6,30.0,2.0,7,7,420,14841.0,Anexo I.2 p.24
B1,2027-05-01,,sabado,SV790,C. Grande - Cascadura,variante,basico,32.645,35.566,253.0,13,0,20.0,3.0,46,46,3992,133284.0,Anexo I.2 p.24
B1,2027-05-01,,domingo,731,C. Grande - Mal. Hermes,regular,basico,28.911,27.363,216.0,11,0,18.0,3.0,55,55,6028,165085.0,Anexo I.2 p.25
